,Pclass_n,Sex_n,Age_n,Ticket_n,Fare_n,Survived
0,2.0,1.0,28.0,523.0,18.0,
1,0.0,0.0,51.0,596.0,207.0,
2,2.0,0.0,34.0,669.0,41.0,
3,0.0,0.0,47.0,49.0,189.0,
4,2.0,1.0,47.0,472.0,43.0,
5,2.0,1.0,88.0,275.0,51.0,
6,0.0,1.0,69.0,85.0,186.0,
7,2.0,1.0,6.0,395.0,124.0,
8,2.0,0.0,35.0,344.0,74.0,
9,1.0,0.0,18.0,132.0,154.0,
10,2.0,0.0,8.0,616.0,110.0,
11,0.0,0.0,74.0,38.0,143.0,
12,2.0,1.0,25.0,535.0,43.0,
13,2.0,1.0,52.0,333.0,158.0,
14,2.0,0.0,18.0,413.0,36.0,
15,1.0,0.0,70.0,153.0,108.0,
16,2.0,1.0,6.0,480.0,151.0,
17,1.0,1.0,88.0,151.0,85.0,
18,2.0,0.0,41.0,301.0,113.0,
19,2.0,0.0,88.0,184.0,16.0,
20,1.0,1.0,47.0,139.0,138.0,
21,1.0,1.0,45.0,152.0,85.0,
22,2.0,0.0,20.0,278.0,42.0,
23,0.0,1.0,36.0,42.0,168.0,
24,2.0,0.0,12.0,395.0,124.0,
25,2.0,0.0,51.0,329.0,159.0,
26,2.0,1.0,88.0,179.0,16.0,
27,0.0,1.0,24.0,95.0,246.0,
28,2.0,0.0,88.0,283.0,38.0,
29,2.0,1.0,88.0,362.0,40.0,
30,0.0,1.0,53.0,598.0,145.0,
31,0.0,0.0,88.0,586.0,236.0,
32,2.0,0.0,88.0,288.0,30.0,
33,1.0,1.0,82.0,549.0,72.0,
34,0.0,1.0,36.0,600.0,220.0,
35,0.0,1.0,56.0,43.0,187.0,
36,2.0,1.0,88.0,202.0,17.0,
37,2.0,1.0,27.0,514.0,43.0,
38,2.0,0.0,23.0,302.0,113.0,
39,2.0,0.0,18.0,186.0,75.0,
40,2.0,0.0,53.0,507.0,62.0,
41,1.0,0.0,35.0,53.0,123.0,
42,2.0,1.0,88.0,391.0,40.0,
43,1.0,0.0,7.0,634.0,177.0,
44,2.0,0.0,24.0,282.0,38.0,
45,2.0,1.0,88.0,617.0,43.0,
46,2.0,1.0,88.0,462.0,102.0,
47,2.0,0.0,88.0,76.0,30.0,
48,2.0,1.0,88.0,190.0,125.0,
49,2.0,0.0,23.0,377.0,112.0,
50,2.0,1.0,11.0,249.0,175.0,
51,2.0,1.0,27.0,522.0,34.0,
52,0.0,0.0,64.0,587.0,211.0,
53,1.0,0.0,38.0,239.0,138.0,
54,0.0,1.0,81.0,29.0,200.0,
55,0.0,1.0,88.0,94.0,168.0,
56,1.0,0.0,27.0,555.0,72.0,
57,2.0,1.0,37.0,215.0,17.0,
58,1.0,0.0,9.0,561.0,146.0,
59,2.0,1.0,15.0,566.0,179.0,
60,2.0,1.0,28.0,197.0,17.0,
61,0.0,0.0,51.0,32.0,218.0,
62,0.0,1.0,59.0,457.0,222.0,
